run	V(vref)
2.780000000000000e+02	1.170137e+00
2.790000000000000e+02	1.183841e+00
2.800000000000000e+02	1.185699e+00
2.810000000000000e+02	1.234979e+00
2.820000000000000e+02	1.230383e+00
2.830000000000000e+02	1.215191e+00
2.840000000000000e+02	1.215101e+00
2.850000000000000e+02	1.200191e+00
2.860000000000000e+02	1.233515e+00
2.870000000000000e+02	1.209969e+00
2.880000000000000e+02	1.194612e+00
2.890000000000000e+02	1.186036e+00
2.900000000000000e+02	1.204127e+00
2.910000000000000e+02	1.187904e+00
2.920000000000000e+02	1.167416e+00
2.930000000000000e+02	1.216699e+00
2.940000000000000e+02	1.187525e+00
2.950000000000000e+02	1.194797e+00
2.960000000000000e+02	1.188210e+00
2.970000000000000e+02	1.255133e+00
2.980000000000000e+02	1.204485e+00
2.990000000000000e+02	1.241946e+00
3.000000000000000e+02	1.195945e+00
3.010000000000000e+02	1.217236e+00
3.020000000000000e+02	1.183069e+00
3.030000000000000e+02	1.208323e+00
3.040000000000000e+02	1.174449e+00
3.050000000000000e+02	1.242035e+00
3.060000000000000e+02	1.205151e+00
3.070000000000000e+02	1.231280e+00
3.080000000000000e+02	1.213181e+00
3.090000000000000e+02	1.193048e+00
3.100000000000000e+02	1.185519e+00
3.110000000000000e+02	1.196139e+00
3.120000000000000e+02	1.195248e+00
3.130000000000000e+02	1.211948e+00
3.140000000000000e+02	1.246947e+00
3.150000000000000e+02	1.206423e+00
3.160000000000000e+02	1.218492e+00
3.170000000000000e+02	1.212669e+00
3.180000000000000e+02	1.194123e+00
3.190000000000000e+02	1.176894e+00
3.200000000000000e+02	1.200213e+00
3.210000000000000e+02	1.209508e+00
3.220000000000000e+02	1.207932e+00
3.230000000000000e+02	1.207780e+00
3.240000000000000e+02	1.198498e+00
3.250000000000000e+02	1.189048e+00
3.260000000000000e+02	1.215630e+00
3.270000000000000e+02	1.199854e+00
3.280000000000000e+02	1.179779e+00
3.290000000000000e+02	1.200485e+00
3.300000000000000e+02	1.183800e+00
3.310000000000000e+02	1.177132e+00
3.320000000000000e+02	1.212841e+00
3.330000000000000e+02	1.217200e+00
3.340000000000000e+02	1.239878e+00
3.350000000000000e+02	1.178604e+00
3.360000000000000e+02	1.211923e+00
3.370000000000000e+02	1.193117e+00
3.380000000000000e+02	1.207399e+00
3.390000000000000e+02	1.229137e+00
3.400000000000000e+02	1.196146e+00
3.410000000000000e+02	1.229767e+00
3.420000000000000e+02	1.184643e+00
3.430000000000000e+02	1.196095e+00
3.440000000000000e+02	1.200533e+00
3.450000000000000e+02	1.184676e+00
3.460000000000000e+02	1.226142e+00
3.470000000000000e+02	1.236476e+00
3.480000000000000e+02	1.193076e+00
3.490000000000000e+02	1.240452e+00
3.500000000000000e+02	1.222271e+00
3.510000000000000e+02	1.210347e+00
3.520000000000000e+02	1.173691e+00
3.530000000000000e+02	1.224964e+00
3.540000000000000e+02	1.212684e+00
3.550000000000000e+02	1.185950e+00
3.560000000000000e+02	1.247080e+00
3.570000000000000e+02	1.240085e+00
3.580000000000000e+02	1.211513e+00
3.590000000000000e+02	1.178195e+00
3.600000000000000e+02	1.231112e+00
3.610000000000000e+02	1.230047e+00
3.620000000000000e+02	1.198119e+00
3.630000000000000e+02	1.242067e+00
3.640000000000000e+02	1.250933e+00
3.650000000000000e+02	1.191226e+00
3.660000000000000e+02	1.202030e+00
3.670000000000000e+02	1.223978e+00
3.680000000000000e+02	1.227166e+00
3.690000000000000e+02	1.194034e+00
3.700000000000000e+02	1.237788e+00
3.710000000000000e+02	1.211892e+00
3.720000000000000e+02	1.214338e+00
3.730000000000000e+02	1.230369e+00
3.740000000000000e+02	1.205403e+00
3.750000000000000e+02	1.181947e+00
3.760000000000000e+02	1.190527e+00
3.770000000000000e+02	1.209484e+00
3.780000000000000e+02	1.212101e+00
3.790000000000000e+02	1.207321e+00
3.800000000000000e+02	1.235212e+00
3.810000000000000e+02	1.221798e+00
3.820000000000000e+02	1.165890e+00
3.830000000000000e+02	1.217561e+00
3.840000000000000e+02	1.207622e+00
3.850000000000000e+02	1.209997e+00
